#Name,Cost,Stat,Elements,Magnitude,Comments
Absorb,100,Energy,Light,100,
Acid_Drip,200,Energy,Water,100,OffCenter
Acid_Nozzle,100,Energy,Water,100,
Boil,100,Energy,Air,100,Boss
Breaking_Wheel,100,Energy,Dark,100,Boss
Brimstone,100,Energy,Fire,100,Boss
Cavalry,100,Energy,Earth,100,
Cold_Shoulder,100,Energy,Fire,100,
Combust,100,Energy,Physical-Air,100,
Confusion,100,Energy,Mental,100,
Dart,50,Energy,Dark,5,
Dart_Trap,100,Energy,Dark,100,
Dismemberment,100,Energy,Physical,100,Boss
Electrify,100,Energy,Air,100,
Energy_Up,100,Energy,Water,100,
Envenom,100,Energy,Earth,100,
Explode,100,Energy,Fire,100,
Fireball,150,Energy,Fire,100,
Flame_Hammer,150,Energy,Fire,200,
Floor_Spikes,100,Energy,Earth,250,
Forget_Skill,200,Energy,Mental,100,Restrict
Gush,100,Energy,Water,100,
Horder,100,Energy,Mental,100,
Horrify,100,Energy,Dark-Fire,100,
Hypothermia,100,Energy,Water,100,Boss
Ice_Shard,50,Energy,Water,100,
Magic_Map,100,Energy,Light,100,Unimplemented
Mimic,100,Energy,Dark,100,
Mutiny,100,Energy,Physical,100,
No_Skill,100,Energy,Mental,100,
Plague,100,Energy,Mental,100,Boss
Poison_Cloud,100,Energy,Mental,100,
Regen_All,100,Energy,Light,100,
Remote_Mine,100,Energy,Fire,100,
Serpent_Supper,300,Energy,Mental,100,Boss
Soul_Crush,500,Energy,Mental,5,
Soul_Reinforcement,100,Energy,Light,100,
Spawn_Item,200,Energy,Earth,100,
Speed_Up,300,Energy,Water,100,
Steal_Item,100,Energy,Air,100,
Strength_Up,100,Energy,Fire,100,
Throw_Item,0,Energy,Air,100,
Valedictorian,100,Energy,Light,100,Unimplemented
Vapor_Cloud,100,Energy,Physical,100,
Vapor_Implant,100,Energy,Air,100,
Venom_Fist,100,Energy,Dark,100,
Wall_Punch,400,Energy,Earth,100,
Weak_Knees,100,Energy,Physical,100,
